"ids","titres","url"
"12","Benjamin Cooper","http://rockandrockand.canalblog.com/"
"65","Béta-Roman","http://sensdelavie.canalblog.com/archives/beta_roman_de_palancy/index.html"
"140,320","E-Literature,Écrits théoriques","http://articlesdejpbalpe.blogspot.fr/"
"99","E.Literature","http://digitextes.canalblog.com/"
"90","El Che","http://sensdelavie.canalblog.com/archives/el_che/index.html"
"497","Entretien pour la revue Secousse","http://www.revue-secousse.fr/Secousse-20/Carte-blanche/Sks20-Balpe-Audio.htm"
"75","Fictions (fiction)","http://fiction.maisonpop.fr/"
"25","Général Proust","http://generalproust.oldiblog.com/"
"7","Germaine Proust","http://meshaikus.canalblog.com/"
"4","Haute Tension (Monsieur Roman)","http://tension.canalblog.com/"
"41","Journal","http://ganancay.livejournal.com/"
"66","Kaos","http://www.imal.org/fr/resurrection/kaos-3-action-poetique-jean-pierre-balpe"
"125","La Toile","http://sensdelavie.canalblog.com/archives/la_toile/index.html"
"108","Le Monde Virtuel de Faust","http://virtuelfaust.canalblog.com/"
"106","Le Temps Positif","http://letempspositif.canalblog.com/"
"26","Les carnets d'Oriane","http://oriane_carnet.space-blogs.net/"
"93","Littérature Toute","http://hyperfiction.blogs.com/"
"92","Marc Balma","http://romans.over-blog.com/"
"88","Marguerite","http://margofaust.canalblog.com/"
"19","Mes Poétiques","http://poetiques.blogg.org/"
"251","Mes voyages","http://mesjournaux.canalblog.com/"
"119","Mon Journal de Lisbonne","http://journalisbonne.canalblog.com/"
"170,91","Monsieur Roman,Maurice Roman","http://monsieurroman.canalblog.com/"
"34","Nathalie Riches","http://riches.skyrock.com/5.html"
"69","Opera Buffa","http://operabuffa.canalblog.com/"
"127","Personne (Hervé Nisic)","http://herve.nisic.free.fr/personne/personne.html"
"112","Photo-Roman","http://photoroman.canalblog.com/"
"37","Photos commentées","https://www.flickr.com/photos/33708847@N00/with/5151235509/"
"94","Photos témoin","http://www.flickr.com/photos/jeanpierreb/"
"64","Poèmes Stein (Animation Everardo Reyes)","http://brooom.org/balpe/photoCadre.html"
"105","Poésie-théâtre","http://theaterpoetry.canalblog.com/"
"97","Proust Memories","http://proustmemories.canalblog.com/"
"11","Rachel Charlus","http://existences.canalblog.com"
"3","Robert Robertson","http://sensdelavie.canalblog.com/archives/la_vie_sexuelle_de_robert_s__racontee_par_lui_meme/index.html"
"153","Roman","http://romans.blog.ca/"
"14,145","Roman-Roman,Roman-Roman","http://romanroman.canalblog.com/"
"24","Ronald Cline","http://sensdelavie.canalblog.com/archives/lettres_d_amour/index.html"
"102","Statistiques","http://marchodges.centerblog.net/m/"
"51","Sylvestre Saint-Loup : GreaTopArt","http://greatopart.canalblog.com/"
"27","Trajectoires","http://trajectoires.space-blogs.net/"
"163","Un Monde Incertain","http://mondehesitant.canalblog.com/"
"167","Un Monde Incertain","http://sensdelavie.canalblog.com/archives/breaute/index.html"
"160","Un Monde Incertain","http://incertainmonde.canalblog.com/"
"156","Un Monde Incertain","http://sensdelavie.canalblog.com/archives/un_monde_incertain/index.html"
"172","Un Monde Incertain","http://unmondeconfus.canalblog.com/"
"178","Un Monde Incertain","http://unmondedouteux.canalblog.com/"
"175","Un Monde Incertain","http://unmondeflou.canalblog.com/"
"164","Un Monde Incertain (multilingue)","http://collectivement.canalblog.com/"
"38","Un roman","http://hyperfictions.blogspot.fr/"
"74","Une autre trajectoire","http://marchodges.over-blog.com/categorie-673053.html"
"147","Une éthique des choix","http://sensdelavie.canalblog.com/archives/l_ethique_des_choix/index.html"
"1321","Version comique de Faust","http://mephistofaust.canalblog.com//"
"321","Vidéos d'Un Monde Incertain","http://videosdunmondeincertain.blogspot.fr/"
"49","Wilfrid d'Eurymédon","http://sensdelavie.canalblog.com/tag/Wilfrid"
"52","…nographies","http://sensdelavie.canalblog.com/archives/nographies/index.html"
